epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2184,1.84734,3.21962,2.14024,1.1688,0,0.99566,0.03663,0.101,0.05934,0.94588,0.0348,0.09864,0.05323,1.85703,3.58668,2.85033,1.17608,0,0.000655556,0.000655556,0.000655556
2,69.4374,1.88291,3.23616,1.7022,1.19992,0,0.39486,0.22711,0.22323,0.11253,0.36469,0.20501,0.19296,0.08954,1.96003,3.5101,2.02839,1.20321,0,0.00130041,0.00130041,0.00130041
3,98.5707,1.87777,3.29902,1.57736,1.2002,0,0.49916,0.31685,0.30079,0.14021,0.47838,0.31914,0.30699,0.12942,2.06263,3.40677,1.69364,1.26483,0,0.00192326,0.00192326,0.00192326
4,127.36,1.92014,3.20874,1.54231,1.21717,0,0.37003,0.34432,0.27637,0.13151,0.38154,0.29716,0.25199,0.10855,1.92247,3.28487,2.06137,1.17642,0,0.001901,0.001901,0.001901
5,156.612,1.84495,3.19275,1.48083,1.17805,0,0.42224,0.3025,0.29357,0.14728,0.40386,0.26557,0.25408,0.11947,1.9088,3.4687,1.70967,1.20621,0,0.001868,0.001868,0.001868
6,185.436,1.83818,3.21457,1.41387,1.16527,0,0.52161,0.35897,0.3573,0.1859,0.49616,0.32464,0.32828,0.15312,1.84101,3.12231,1.58052,1.16428,0,0.001835,0.001835,0.001835
7,214.393,1.83084,3.10509,1.36275,1.173,0,0.60498,0.40476,0.42257,0.20596,0.56537,0.34307,0.35474,0.16486,1.80086,3.10213,1.33836,1.14481,0,0.001802,0.001802,0.001802
8,243.16,1.80329,3.09121,1.35081,1.16502,0,0.55742,0.39011,0.4361,0.21876,0.60488,0.3315,0.37251,0.16264,1.82517,3.12613,1.35727,1.16307,0,0.001769,0.001769,0.001769
9,271.932,1.79821,3.07635,1.31837,1.15749,0,0.50167,0.38534,0.39485,0.19928,0.53232,0.34432,0.3658,0.16768,1.86902,3.18146,1.33117,1.14777,0,0.001736,0.001736,0.001736
10,300.875,1.75943,3.01414,1.26879,1.13622,0,0.60343,0.41941,0.44589,0.2199,0.54879,0.37869,0.39134,0.18191,1.76758,3.09019,1.29621,1.13854,0,0.001703,0.001703,0.001703
11,329.847,1.74894,3.01487,1.24274,1.14061,0,0.6101,0.4011,0.42495,0.21299,0.5877,0.34982,0.37867,0.17115,1.73429,3.16907,1.291,1.14139,0,0.00167,0.00167,0.00167
12,359.138,1.74796,2.98346,1.26587,1.12647,0,0.54559,0.40476,0.42775,0.22145,0.54573,0.36996,0.39124,0.18316,1.72413,3.10863,1.26602,1.1305,0,0.001637,0.001637,0.001637
13,388.316,1.67959,2.934,1.20806,1.11892,0,0.57781,0.4211,0.45111,0.23061,0.58486,0.37156,0.41336,0.19236,1.70881,3.06885,1.19753,1.11393,0,0.001604,0.001604,0.001604
14,417.576,1.68937,2.88204,1.16687,1.11768,0,0.56837,0.42674,0.46929,0.23761,0.53546,0.37912,0.40235,0.18138,1.7241,3.0739,1.24419,1.11211,0,0.001571,0.001571,0.001571
15,446.602,1.66101,2.84166,1.21055,1.12113,0,0.60105,0.45238,0.485,0.25246,0.59214,0.38095,0.41725,0.19241,1.71511,2.95784,1.19395,1.10621,0,0.001538,0.001538,0.001538
16,475.987,1.65251,2.87951,1.14312,1.10375,0,0.59375,0.41575,0.46349,0.23586,0.5767,0.38828,0.43321,0.19648,1.72176,3.06148,1.18438,1.11184,0,0.001505,0.001505,0.001505
17,505.08,1.63369,2.82689,1.14065,1.09039,0,0.64538,0.43773,0.4718,0.23666,0.6546,0.39917,0.44632,0.19085,1.73621,3.07636,1.1813,1.1419,0,0.001472,0.001472,0.001472
18,534.161,1.64316,2.85962,1.14052,1.0847,0,0.65011,0.4424,0.47455,0.25027,0.61572,0.40842,0.43046,0.19403,1.67892,3.00538,1.19701,1.11988,0,0.001439,0.001439,0.001439
19,563.224,1.60584,2.87209,1.09797,1.08124,0,0.66119,0.43605,0.47508,0.24811,0.63698,0.39744,0.43399,0.19554,1.70572,2.97247,1.17565,1.10826,0,0.001406,0.001406,0.001406
20,592.534,1.58611,2.80624,1.08983,1.08201,0,0.61663,0.46251,0.48681,0.24406,0.59241,0.37535,0.42215,0.18599,1.70883,2.94115,1.16347,1.10264,0,0.001373,0.001373,0.001373
21,621.52,1.5971,2.73753,1.08768,1.08123,0,0.60727,0.44872,0.48839,0.25082,0.65688,0.38828,0.43532,0.20434,1.67381,2.92679,1.11397,1.11065,0,0.00134,0.00134,0.00134
22,650.667,1.6003,2.75691,1.07362,1.07343,0,0.61241,0.41758,0.45685,0.23927,0.62804,0.35348,0.40399,0.19113,1.66345,3.01548,1.181,1.09476,0,0.001307,0.001307,0.001307
23,679.839,1.58793,2.79688,1.066,1.07161,0,0.63361,0.40842,0.46249,0.24289,0.59892,0.36264,0.41012,0.19574,1.71126,3.03263,1.15829,1.09421,0,0.001274,0.001274,0.001274
24,708.875,1.56113,2.69839,1.04837,1.05879,0,0.62305,0.45788,0.4922,0.25244,0.61326,0.39744,0.43809,0.18827,1.69619,2.99244,1.14345,1.12458,0,0.001241,0.001241,0.001241
25,737.858,1.53437,2.70025,1.03687,1.04819,0,0.65101,0.45971,0.48824,0.24974,0.61056,0.40201,0.43415,0.1923,1.67753,2.94763,1.18557,1.10015,0,0.001208,0.001208,0.001208
26,767.046,1.55911,2.72198,1.04481,1.05824,0,0.63207,0.46154,0.49063,0.24359,0.60197,0.40293,0.44444,0.19743,1.73418,2.97623,1.15146,1.11432,0,0.001175,0.001175,0.001175
27,796.247,1.52846,2.74389,1.01244,1.04487,0,0.66451,0.41941,0.48922,0.2515,0.67838,0.39018,0.45912,0.20021,1.668,2.99804,1.12988,1.09406,0,0.001142,0.001142,0.001142
28,825.512,1.5388,2.70169,1.01443,1.04652,0,0.61954,0.46703,0.49386,0.25922,0.63477,0.3956,0.44807,0.20366,1.66933,2.95591,1.12368,1.07952,0,0.001109,0.001109,0.001109
29,854.48,1.51556,2.65958,1.02035,1.05167,0,0.65893,0.43407,0.50211,0.25139,0.67065,0.37363,0.42798,0.18394,1.67462,2.95622,1.11694,1.07229,0,0.001076,0.001076,0.001076
30,884.114,1.4887,2.64897,0.97617,1.04611,0,0.68974,0.42857,0.49778,0.25789,0.6494,0.39194,0.45056,0.20078,1.64732,3.03295,1.12797,1.08964,0,0.001043,0.001043,0.001043
31,914.808,1.52885,2.67868,0.99052,1.04259,0,0.63813,0.43773,0.48504,0.24961,0.63633,0.38828,0.44193,0.19038,1.65264,3.01448,1.13341,1.09864,0,0.00101,0.00101,0.00101
32,944.456,1.49008,2.65367,0.9854,1.02551,0,0.68178,0.43164,0.49013,0.24802,0.67829,0.38095,0.44771,0.19963,1.6869,2.96151,1.10694,1.0952,0,0.000977,0.000977,0.000977
33,974.062,1.49393,2.67976,0.99894,1.03955,0,0.65292,0.45238,0.506,0.26622,0.59598,0.41026,0.45233,0.2033,1.64472,2.91297,1.11741,1.09279,0,0.000944,0.000944,0.000944
34,1003.65,1.44944,2.59799,0.95184,1.0245,0,0.64857,0.46983,0.50401,0.26593,0.63309,0.40293,0.45613,0.20198,1.63622,2.97219,1.06206,1.06835,0,0.000911,0.000911,0.000911
35,1033.74,1.453,2.56711,0.95496,1.01781,0,0.65156,0.47619,0.50783,0.25488,0.62712,0.41026,0.4505,0.19977,1.6719,3.01769,1.07118,1.09235,0,0.000878,0.000878,0.000878
36,1063.74,1.45524,2.55962,0.94682,1.02845,0,0.63809,0.44689,0.49802,0.25318,0.6504,0.37822,0.42241,0.18388,1.67523,2.95664,1.08926,1.0913,0,0.000845,0.000845,0.000845
37,1093.38,1.44616,2.56935,0.92388,1.01961,0,0.65248,0.46337,0.51313,0.27013,0.62622,0.41758,0.45723,0.21042,1.61131,2.94748,1.04599,1.07637,0,0.000812,0.000812,0.000812
38,1123.4,1.44272,2.5954,0.92252,1.01832,0,0.64073,0.48668,0.53037,0.27379,0.68089,0.39861,0.46511,0.20221,1.6208,3.03773,1.07822,1.0783,0,0.000779,0.000779,0.000779
39,1153.62,1.46288,2.5663,0.95803,1.02325,0,0.66167,0.48168,0.52993,0.27803,0.6257,0.42308,0.46188,0.21362,1.59626,2.9765,1.04108,1.07808,0,0.000746,0.000746,0.000746
40,1183.5,1.4257,2.56897,0.90907,0.99758,0,0.62991,0.48631,0.52518,0.27528,0.60224,0.3956,0.44922,0.19959,1.64706,2.89119,1.05288,1.07398,0,0.000713,0.000713,0.000713
41,1213.09,1.42548,2.50528,0.92157,1.01701,0,0.6414,0.48352,0.52361,0.27592,0.62522,0.41209,0.46344,0.21411,1.62676,2.91169,1.04549,1.06441,0,0.00068,0.00068,0.00068
42,1242.22,1.38908,2.48259,0.89416,1.00064,0,0.58331,0.50916,0.52595,0.27892,0.65351,0.39927,0.47116,0.21805,1.59137,2.97341,1.03766,1.06696,0,0.000647,0.000647,0.000647
43,1271.18,1.39287,2.48533,0.91146,1.00677,0,0.60098,0.49084,0.52163,0.27274,0.62686,0.3956,0.4539,0.21095,1.61983,2.97764,1.03116,1.07076,0,0.000614,0.000614,0.000614
44,1300.19,1.40561,2.48861,0.90077,0.99631,0,0.65254,0.48718,0.53067,0.27631,0.61655,0.41941,0.46834,0.21488,1.59338,2.94157,1.02654,1.06628,0,0.000581,0.000581,0.000581
45,1329.3,1.40612,2.51997,0.88926,1.00142,0,0.60158,0.47253,0.50945,0.2667,0.6422,0.39927,0.46499,0.21647,1.63998,2.9809,1.03343,1.07636,0,0.000548,0.000548,0.000548
46,1358.22,1.37502,2.45312,0.86475,0.9935,0,0.65155,0.50183,0.52978,0.27687,0.57432,0.43491,0.46301,0.21827,1.58597,3.01197,1.01572,1.07036,0,0.000515,0.000515,0.000515
47,1387.31,1.38261,2.46606,0.88168,0.99329,0,0.65518,0.48352,0.51863,0.27248,0.59481,0.43407,0.46522,0.21047,1.60343,3.05405,1.01845,1.06635,0,0.000482,0.000482,0.000482
48,1416.64,1.36483,2.46599,0.87739,0.99173,0,0.70819,0.44322,0.52626,0.27366,0.69243,0.3917,0.46253,0.21006,1.61041,3.00909,1.0066,1.0615,0,0.000449,0.000449,0.000449
49,1445.87,1.3634,2.44675,0.86952,0.98931,0,0.63997,0.49817,0.52457,0.27134,0.60233,0.44139,0.47135,0.21187,1.63487,3.01693,1.00274,1.08388,0,0.000416,0.000416,0.000416
50,1475.2,1.36198,2.4301,0.85004,0.98282,0,0.66369,0.48535,0.52219,0.26615,0.61197,0.42308,0.46652,0.20739,1.63372,3.05716,1.03746,1.07406,0,0.000383,0.000383,0.000383
51,1501.68,1.4141,2.49776,0.89933,1.0033,0,0.62834,0.47985,0.50493,0.26739,0.61798,0.38462,0.43731,0.20032,1.62732,3.09081,1.05376,1.08107,0,0.00035,0.00035,0.00035
52,1528.16,1.3547,2.42463,0.86026,0.98912,0,0.65608,0.48901,0.52771,0.27503,0.58893,0.42771,0.47014,0.20679,1.62314,2.99882,1.03653,1.08248,0,0.000317,0.000317,0.000317
53,1554.6,1.34957,2.43615,0.84173,0.97766,0,0.68797,0.46337,0.51433,0.26509,0.5623,0.42125,0.44417,0.202,1.62871,3.01781,1.0305,1.07277,0,0.000284,0.000284,0.000284
54,1581.03,1.32769,2.45824,0.84182,0.97901,0,0.62854,0.47726,0.52299,0.27263,0.55642,0.43407,0.464,0.20782,1.62681,3.03566,1.01733,1.07496,0,0.000251,0.000251,0.000251
55,1607.38,1.3314,2.42625,0.82443,0.97689,0,0.65184,0.50406,0.53581,0.2737,0.55472,0.43956,0.4619,0.20866,1.61374,3.06364,0.99701,1.06794,0,0.000218,0.000218,0.000218
56,1633.79,1.297,2.36568,0.81474,0.9778,0,0.66333,0.49634,0.53015,0.27347,0.57032,0.42674,0.45893,0.20533,1.61906,3.06463,1.00287,1.06711,0,0.000185,0.000185,0.000185
57,1660.23,1.28174,2.34647,0.80596,0.96853,0,0.68891,0.49451,0.53855,0.2737,0.62893,0.41575,0.46843,0.21118,1.62717,3.09091,1.00324,1.07918,0,0.000152,0.000152,0.000152
58,1686.58,1.30958,2.37882,0.81948,0.9744,0,0.69462,0.48901,0.53076,0.27409,0.62086,0.41392,0.46513,0.20854,1.62816,3.08704,1.01476,1.07759,0,0.000119,0.000119,0.000119
59,1712.97,1.28176,2.36572,0.7902,0.97191,0,0.69426,0.48718,0.53381,0.27812,0.64509,0.4011,0.46551,0.21095,1.61375,3.0293,1.0127,1.07007,0,8.6e-05,8.6e-05,8.6e-05
60,1739.32,1.2866,2.32398,0.79321,0.95717,0,0.70701,0.48168,0.52951,0.27326,0.65617,0.39845,0.46787,0.2102,1.61077,3.03166,1.00449,1.06524,0,5.3e-05,5.3e-05,5.3e-05
